name,citymeetings_url,start_time_in_seconds,end_time_in_seconds,for_or_against,borough,neighborhood,stated_affiliations,key_points
Michael Sutherland,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/michael-sutherland-from-open-plans-on-lifting,2001.6682,2156.429,For,Brooklyn,Deep Southern Brooklyn,[Open Plans],"[Lifting parking mandates will not ban parking, but allow it to be built where appropriate, Many cities across the US have already lifted parking mandates, including less transit-oriented cities, Buffalo's experience shows that lifting parking mandates works, with 47% of major developments including fewer parking spaces than previously required, In New York City, more parking than required has been built in areas with high car dependency, Parking mandates have driven up the cost of building and lowered the number of housing units built in areas with less car dependency, Lifting mandates will allow for more housing creation in areas where parking is unnecessary, Urges the inclusion of parking mandate reform in the City of Yes for Housing Opportunity initiative]"
Nuha Ansari,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/nuha-ansari-from-friends-of-the-upper-east-side,2171.3992,2357.4993,Against,Manhattan,Upper East Side,[Friends of the Upper East Side Historic Districts],"[The market has failed to regulate prices and create affordable housing on the Upper East Side, Concerns about weakening the public review process and transparency, Potential destruction of historic district character due to changes in landmark transfer development rights, Reduction in light, air, and green space due to proposed changes in rear yard sizes and open space requirements, Need for zoning that prioritizes resident well-being and creates truly affordable housing, Urges the commission to consider alternative solutions that strengthen neighborhoods and ensure an inclusive review process]"
Elizabeth Denys,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/elizabeth-denys-from-open-new-york-on-transit,2394.6694,2568.547,For,Brooklyn,Flatbush,[Open New York],"[Support for the City of Yes for Housing Opportunity initiative, Concern about housing shortage and skyrocketing rents forcing people to leave the city, Support for transit-oriented development and lifting parking minimums, Support for allowing 3 to 5 story apartment buildings near transit, which are contextual with existing buildings in Flatbush, Support for Accessory Dwelling Units (ADUs) as a way to add housing in lower density neighborhoods, ADUs can help families live closer together and provide additional income for homeowners, Urges approval of the proposal in its strongest possible form]"
Talya Schwartz,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/talya-schwartz-from-open-plans-on-removing-parking,2585.3564,2780.4536,For,Unknown,Unknown,[Open Plans],"[Support for removal of unnecessary parking mandates, Parking mandates increase housing costs significantly, For every 1.2 parking spaces constructed, one unit of housing is lost, Parking mandates can increase rent by an estimated 17%, Low-income households bear the brunt of additional costs from parking mandates despite owning fewer cars, Removal of parking mandates will help businesses grow and remove obstacles to the economy, In affordable developments, requiring parking spots raises total development costs by 12.5% to 25%, The cost to subsidize parking is more expensive for people in smaller and more affordable housing]"
Jeffrey Thomas,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/jeffrey-thomas-on-universal-affordability,2820.122,2942.9092,For,Brooklyn,Unknown,[],"[Supports the City of Yes for Housing Opportunity proposal in general, Specifically favors the Universal Affordability Preference (UAP), UAP makes buildings more profitable while increasing affordable housing, Supports removing parking minimums, Removing parking minimums can encourage alternative transportation methods, Removing parking minimums can lower construction costs and increase affordability, Fewer parking spaces can lead to less congestion and fewer cars on the roads]"
Joann Ariola,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/council-member-joann-ariola-on-opposition-to-city,2991.2424,3198.5134,Against,Queens,Unknown,[NYC City Council],"[The City of Yes would be an unmitigated disaster in its current form, Current building regulations exist to protect quality of life, Homeowners deserve to raise families in the environment they bought into, The proposal would devastate quality of life for many taxpayers and residents, It would eliminate community input via ULURP, It favors large developers over small businesses and homeowners, New Yorkers deserve a say in their neighborhoods, Advocating for smart, sustainable development that doesn't destroy suburban community character, Concerns about preserving one and two-family homes and mom-and-pop shops, Not opposed to creating more housing, but wants it done in a smarter and more sustainable manner]"
Andrea Goldwyn,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/andrea-goldwyn-from-the-new-york-landmarks,3401.3323,3606.252,Against,Unknown,Unknown,[New York Landmarks Conservancy],"[Concerns about the rushed process and lack of meaningful public outreach, Opposition to removing ULURP requirements for many land use actions, Support for easing rules for converting commercial buildings to residential, Appreciation for new opportunities for landmarks to transfer unused development rights, Concern about potential impacts on older buildings and special districts, Worry about prioritizing new construction over green spaces and backyards, Skepticism about the proposal's ability to create affordable housing, Request for more time for residents to learn about the implications of the proposal]"
Layla Law-Gisiko,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/layla-law-gisiko-president-of-the-city-club-of-new,3611.9673,3811.012,Against,Unknown,Unknown,[City Club of New York],"[The proposal fails to address affordable housing needs, Increasing housing supply does not automatically result in more affordable housing, The initiative may reduce housing quality by allowing reduced standards, The proposal lacks assessment of environmental impact and infrastructure needs, Concerns about the transfer of development rights from landmarks potentially creating disproportionately large towers, Urges for mandatory affordable housing provisions, Calls for protection of housing standards and local oversight, Emphasizes the need for planning community infrastructure]"
Lydia Andre,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/lydia-andre-from-chelsea-neighbors-coalition-on,3831.9692,3942.302,Against,Manhattan,Chelsea,"[Chelsea Neighbors Coalition, 300 20th Street Block Association]","[The trickle-down supply-side concept doesn't work, Affordable housing should be mandated, Local control should not be removed from neighborhoods, One-size-fits-all approach doesn't work for every neighborhood, Preserving neighborhood character and quality of life should be prioritized, The market has not succeeded in creating affordable housing, Open space is crucial to neighborhoods, The AMI numbers in the proposal don't match the actual income levels of New Yorkers most in need, The incentives for income averaging are unclear, The proposal needs improvement to better serve all New Yorkers]"
Zool Zulkowitz,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/zool-zulkowitz-from-manhattan-community-board-5-on,3971.4043,4067.8093,Against,Manhattan,Unknown,[Manhattan Community Board 5],"[The City of Yes deal is not in the public interest, Concerns about influence of high-powered lobbies on elected officials, Criticism that the plan prioritizes private interests over public needs, Concerns about affordability for current residents, Worries about decreased air quality, light, and open space, Fear that the plan will not address economic and racial segregation, Criticism that the plan promotes privatization and commercialization, Concern that the plan prioritizes profit over people]"
Bria Donohue,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/bria-donohue-from-american-institute-of-architects,4100.27,4223.8296,For,Unknown,Unknown,[American Institute of Architects],"[AIA New York strongly supports the proposed citywide zoning tax amendment, City of Yes for Housing Opportunity, The proposal eliminates antiquated barriers that restrict development and burden the housing market, The proposal will create missing middle housing, which is critical for addressing the city's housing needs, The changes are necessary to address the ongoing housing crisis in NYC, The proposal will help reach Mayor Adams' goal of creating 500,000 housing units over the next decade, The proposal addresses the current housing supply deficit and potential future shortages, The zoning changes are a step in the right direction for creating more affordable housing options]"
Mark Levine,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/manhattan-borough-president-mark-levine-on-city-of,4265.615,4604.8213,For,Manhattan,Unknown,"[New York City Government, Manhattan Borough President]","[The city is experiencing a severe housing shortage and high rents, Current zoning code from 1961 is an obstacle to building needed housing, City of Yes for Housing Opportunity would help alleviate the housing shortage, Universal Affordable Preference (UAP) would increase affordable housing stock, The proposal would reduce roadblocks for converting vacant offices to residential units, Changes would allow for development on large residential campuses, including those owned by faith-based organizations, Manhattan Borough Board approved 15 key recommendations in the proposal, The proposal could potentially catalyze the production of 100,000 new units]"
Kate Liggett,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/kate-liggett-program-director-of-housing-rights,4652.0234,4816.989,For,Unknown,Unknown,[Housing Rights Initiative],"[The organization has generated nearly 100 class action and fair housing lawsuits against large real estate companies, They have recovered millions of dollars in rent refunds and reductions for rent-stabilized families, Expanding housing supply is crucial to address New York City's housing affordability crisis, The City of Yes plan promotes construction of additional, denser housing in more places, The plan includes provisions to ensure geographically equitable development, Previous policies favored development in lower-cost outer borough areas, while this plan aims to build affordable units in high-opportunity, transit-rich neighborhoods, Expanding housing supply will help combat source of income discrimination, A more abundant housing market will enable voucher holders to compete more fairly, The plan will help build a more equitable and affordable city for all New Yorkers]"
Francesca Brown,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/francesca-brown-from-camba-housing-ventures-on,4860.893,4944.9834,For,Unknown,Unknown,[CAMBA Housing Ventures],"[Support for the City of Yes for Housing Opportunity initiative, Appreciation for the work of Mayor Adams, his team, and the Department of City Planning, Importance of local neighborhood conversations and community stakeholder participation, Commitment to creating equitable and inclusive communities, Canva Housing Ventures' experience working with HPD, HDC, and city planning for nearly 20 years, Dedication to addressing the housing crisis by providing safe, sustainable neighborhood assets]"
Vickie Paladino,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/council-member-vickie-paladino-on-concerns-about,4984.6494,5188.388,Against,Queens,Northeast Queens,[NYC City Council],"[The initiative is being pushed through too quickly without proper consideration, Community boards in her district have voted against the initiative, There are thousands of underused or unused buildings in New York City that could be used for housing, The initiative is not a one-size-fits-all solution for all districts, Suggests implementing a pilot program to test and refine the initiative before full implementation, Concerns about the impact on residential areas, Argues that the city is not ready for the City of Yes initiative, Draws parallels to other initiatives that were rushed and led to problems (e.g., legalization of pot), Calls for more thorough consideration and planning before implementation]"
Karen Argenti,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/karen-argenti-from-the-bronx-council-for,5934.357,6124.926,Against,Bronx,Unknown,"[Bronx Council for Environmental Quality, Broadway Community Alliance, Protect Bronx Neighborhoods from Over Development]","[The DEIS (Draft Environmental Impact Statement) is severely flawed, The proposal is not building any affordable units, There is no supply problem, but a problem with affordable rentals, The market is being manipulated by private entities, Zoning changes cannot solve the affordable housing problem, Need to meet the city's 2030 climate change goals, Concerns about impervious surface area and its impact on runoff volume, Need for affordability, clean air, and water simultaneously]"
Juan Rivero,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/juan-rivero-from-village-preservation-on,6157.1274,6296.523,Against,Manhattan,Greenwich Village,[Village Preservation],"[Rejects the assumption that increasing unaffordable housing will make the city more affordable, Opposes increasing allowable size and height of market-rate development in contextual zoning districts in Manhattan Community Boards 1-8, Opposes increasing allowable FAR for purely market-rate development in voluntary inclusionary housing zones, Against vastly increasing the area for air rights transfers from individual landmarks, Opposes reducing rear yard requirements in medium and high-density zones, Against allowing building on open space on campuses, Opposes removing language from special district provisions, Believes City of Yes for Housing Opportunity moves in the wrong direction for city development]"
Arlene Shlesinger,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/arlene-shlesinger-from-hollis-hill-civic,6329.0444,6445.5776,Against,Queens,Hollis Hills,[Hollis Hill Civic Association],"[The initiative ignores community board decisions, The community has the right to maintain single-family home lifestyle, Local schools are already overcrowded, The initiative would benefit developers and realtors at the expense of residents, The plan would devastate local commercial areas, The initiative would transform suburban areas into high-density mixed-use zones, The initiative would undermine community stability, Introducing renters could lead to businesses operating out of homes, causing problems]"
John Mudd,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/john-mudd-president-of-midtown-south-community,6556.3296,6731.7383,Against,Manhattan,Midtown South,"[Midtown South Community Council, Empire State Coalition, Right to Counsel NYC Coalition]","[The proposal will strip away equity opportunities for the public, The plan will feed more wealth to developers and the real estate industry, The plan is rushed and not well thought out, It will continue to increase disparity, The plan should focus on preventing and curing homelessness, Opposes social cuts, land giveaways, and selling of public assets, Concerns about the influence of the real estate industry on the city, The plan is connected to other controversial development projects in the city, Lack of oversight on housing and homelessness issues, Concerns about tenant displacement]"
Dorothy Windham,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/dorothy-windham-from-open-new-york-on-support-for,6833.4097,6905.2896,For,Manhattan,Upper West Side,[Open New York],"[Concern about rising cost of housing for young people, Support for City of Yes plan to allow New York to grow, Excitement about creation of permanent affordable housing through UIP proposal, Support for re-legalization of new NRSROs, Belief that growth is necessary for New York's future, Concern about consequences of not building new housing (higher prices, struggling businesses, families squeezed or moving away), Hope that City of Yes will make living in New York more affordable]"
Adam Brodheim,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/adam-brodheim-housing-researcher-and-community,6953.9033,7070.8687,For,Manhattan,Upper West Side,[],"[Support for easing the transfer of development rights for landmark buildings, Importance of preserving historic buildings while allowing for new housing, Potential benefits for religious and cultural institutions, Support for office-to-residential conversions, Support for ending parking minimums, Support for legalizing ADUs, Support for making changes to zoning on campuses, Allowing density in historic districts without changing their character]"
Jim Wright,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/jim-wright-from-aia-new-york-chapter-on-transit,7087.808,7283.5537,For,Unknown,Unknown,[AIA New York Chapter],"[Support for the expansion of transit zones citywide, allowing modest density increases in low and moderate density areas near transit stations, Endorsement of removing minimum off-street parking requirements for most new buildings, Transit-oriented development links land use with access to public transportation and job opportunities, Current parking requirements increase housing costs and suppress full utilization of existing zoning capacity, Eliminating parking mandates and increasing density near transit will create more affordable and sustainable neighborhoods, The overlap of transit zones with Town Center zones creates opportunities for mixed-use housing with transit access, These changes will accommodate city growth in coming decades]"
Michael Kaess,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/michael-kaess-on-city-of-yes-zoning-reforms-and,7448.4146,7588.983,For,Bronx,Morris Park,[],"[Supports the City of Yes proposal as a step to address past zoning mistakes, Current zoning code is too strict, limiting housing options, City of Yes will allow existing zoning designations to work more effectively, Supports provisions for ADUs, ending residential parking mandates, transit-oriented development, and town center zoning, City of Yes will empower homeowners to do more with their property, Argues that the proposal is modest given the scale of the housing crisis, Urges the City Planning Commission to resist watering down the proposal and instead make it stronger, Criticizes fear-mongering and lack of solutions from opponents]"
Sara Bronin,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/sara-bronin-chair-of-the-advisory-council-on,7642.7695,7805.732,For,Unknown,Unknown,[Advisory Council on Historic Preservation],"[The proposal aligns with ACHP's federal historic preservation policy, Support for legalizing conversion of nonresidential structures for residential uses, Support for legalization of accessory dwelling units to increase density in historic neighborhoods, Elimination of parking minimums is a positive step, Changes to rules concerning transfer of development rights from landmark buildings can provide financial support for rehabilitation, Changes to how historic campuses are treated could help utilize excess land for new density without demolition, The proposal leverages the city's historic built environment to support housing]"
